,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
S100A11,1.9616754867687e-20,-0.192612330203077,0.327,0.378,4.27135220489017e-16
GNLY,2.10901761844339e-20,0.527999171822541,0.272,0.233,4.59217496239863e-16
RCSD1,2.26028826027392e-20,-0.238939275110231,0.379,0.429,4.92155165792043e-16
FTH1,2.35225801560004e-20,0.208633387521605,0.992,0.992,5.12180660316753e-16
CSF3R,2.93085869230883e-20,-0.465322742666447,0.104,0.139,6.38165171663326e-16
DNAJC15,3.01849384408704e-20,0.335438231034789,0.218,0.173,6.57246849611512e-16
HIF1A,3.24258972717596e-20,0.326894714767829,0.349,0.301,7.06041487195293e-16
CD247,3.72831525670921e-20,0.217688649014291,0.431,0.38,8.11803363995863e-16
THAP7,3.75189136595278e-20,0.388813532405283,0.175,0.135,8.16936826022558e-16
ATP2B1-AS1,4.19690852584879e-20,-0.592823028969618,0.215,0.254,9.13834862418316e-16
VPS37B,4.28903928214963e-20,0.357539963103453,0.275,0.23,9.33895413295261e-16
NR4A2,4.35182707856943e-20,0.276520532238567,0.492,0.446,9.47566828087708e-16
LINC01220,4.65952327819668e-20,-1.16099854214936,0.015,0.03,1.01456459859455e-15
IL21R,6.63525335501561e-20,0.555428565840386,0.108,0.076,1.4447600655211e-15
STAB1,7.08477706654018e-20,-0.748312677058772,0.042,0.066,1.54263935846846e-15
GLRX,7.55228881128934e-20,-0.415489267146111,0.183,0.224,1.64443536577014e-15
VAMP8,8.1812832477194e-20,-0.266082084391303,0.366,0.413,1.78139261435842e-15
MAP3K8,8.92949211685208e-20,0.336803810866723,0.324,0.28,1.94430761352337e-15
CD14,9.53324952241232e-20,-0.554698618979456,0.102,0.135,2.07576975101006e-15
IFI30,1.07672743406982e-19,-0.344110058469174,0.159,0.2,2.34446631494363e-15
PTPN18,1.10470509488485e-19,-0.443715438741596,0.127,0.164,2.40538487360228e-15
IFI27,1.12588397762181e-19,-1.7133016433405,0.006,0.017,2.45149977287373e-15
PTPN6,1.15047699518342e-19,-0.296320633828117,0.303,0.349,2.50504860931238e-15
P2RY8,1.25125918413652e-19,0.230172357625353,0.466,0.42,2.72449174753885e-15
CEMIP2,1.27608414853381e-19,0.347766865774912,0.232,0.189,2.77854562501751e-15
SMAD7,1.30698116286701e-19,0.633457338644356,0.086,0.058,2.84582078402662e-15
CRYBG1,1.95125395585311e-19,0.380560880003472,0.203,0.161,4.24866036347456e-15
SAT1,1.99942788310079e-19,-0.416371151266282,0.526,0.563,4.35355427266366e-15
CYTOR,2.24689674454221e-19,-0.393874085119246,0.16,0.2,4.8923929715662e-15
DRAP1,2.8434425255106e-19,-0.238045732380234,0.41,0.454,6.19131175504679e-15
SLC3A2,3.25704299806086e-19,0.288357709876566,0.303,0.256,7.09188542397771e-15
PLPBP,3.36026205465976e-19,-0.495668466380404,0.081,0.112,7.31663459781615e-15
IRF7,5.74634363697617e-19,-0.372171998436629,0.175,0.217,1.25120886351519e-14
CPT1A,6.09020344602614e-19,0.480222725097967,0.113,0.081,1.32608089833773e-14
RBM38,7.61935055998044e-19,0.306911629563313,0.289,0.244,1.65903739093014e-14
STK17A,7.94094512437091e-19,0.245658286181564,0.404,0.356,1.72906139138052e-14
KLRC2,8.4470263424664e-19,0.541613184248364,0.112,0.08,1.83925551580863e-14
KLF4,8.76040003308394e-19,-0.566712552616022,0.105,0.138,1.9074895032037e-14
GAPDH,8.80572058633593e-19,-0.115754103929388,0.898,0.917,1.91735760046878e-14
ITK,9.45036667352297e-19,0.278892795409518,0.328,0.282,2.05772283949289e-14
SMAP2,9.54892644779517e-19,0.286059232456034,0.324,0.278,2.07918324474292e-14
CD52,9.8689785846988e-19,-0.147672448531148,0.882,0.895,2.14887139703232e-14
OGFRL1,1.11748123292519e-18,-0.517170438208157,0.08,0.11,2.4332036365713e-14
TNFAIP3,1.31966298192217e-18,0.15799943122329,0.664,0.613,2.87343417683734e-14
FAM118A,1.89038906006827e-18,-0.353910820477925,0.17,0.21,4.11613313939265e-14
NBPF12,2.30051701927902e-18,0.6791505025829,0.071,0.046,5.00914575777813e-14
IFIT3,2.82721052310249e-18,-1.1678849277346,0.018,0.035,6.15596819300336e-14
CAPG,2.87506378702829e-18,-0.413624629347976,0.124,0.159,6.26016388987539e-14
UPK3BL1,3.10914767278855e-18,-0.779900290930659,0.03,0.05,6.76985814272978e-14
BLVRA,3.3620575213403e-18,-0.529457431489329,0.099,0.132,7.32054404696638e-14
CFD,3.52727544409764e-18,-0.452891321122765,0.107,0.141,7.6802895519782e-14
SHTN1,3.64228709988324e-18,-0.751840507725386,0.028,0.047,7.93071593128576e-14
CD47,4.17561898323765e-18,0.218211929927285,0.422,0.373,9.09199277410165e-14
CST3,4.4207002409237e-18,-0.356652699676237,0.157,0.195,9.62563270458726e-14
PADI4,4.47977008529784e-18,-0.73260181276658,0.041,0.063,9.75425138372752e-14
IL4R,4.64222430884276e-18,0.3152510493766,0.189,0.15,1.01079792100742e-13
LMO2,5.28414515897342e-18,-0.839031002960736,0.027,0.047,1.15056976691487e-13
COTL1,5.76297086235104e-18,-0.146733107272286,0.502,0.545,1.25482927556832e-13
FAM177A1,5.80073146646783e-18,0.378981983082905,0.29,0.25,1.26305126950871e-13
APOBEC3C,6.09408063510679e-18,-0.407784159124645,0.109,0.143,1.32692511748815e-13
TMA7,6.48680279629331e-18,-0.104838269863312,0.884,0.896,1.4124364408649e-13
HNRNPA0,7.21674994359218e-18,0.148694168923729,0.621,0.574,1.57137513271776e-13
MRPL23,7.86641865072721e-18,0.496125688704911,0.104,0.074,1.71283399700934e-13
TXK,8.27305656486477e-18,0.372532979472548,0.19,0.151,1.80137533643365e-13
EGR1,9.36295896325293e-18,-0.823173002823032,0.075,0.103,2.03869068465869e-13
FGR,1.03856180046276e-17,-0.281312535294041,0.214,0.257,2.26136446432761e-13
VCAN,1.18003061578184e-17,-0.203287931137815,0.106,0.14,2.56939866280337e-13
MT1E,1.22037616175492e-17,-0.461282979179378,0.049,0.073,2.65724705460517e-13
SDCBP,1.55432749076885e-17,0.245695137988442,0.32,0.274,3.38439267840009e-13
TMEM273,1.62081470627207e-17,1.01007069864511,0.033,0.016,3.52916194143681e-13
ARRDC2,1.78755401855625e-17,0.380961284491086,0.204,0.165,3.89222012000437e-13
AP3M2,2.18115428327597e-17,0.479272385130512,0.104,0.074,4.74924533640511e-13
DDX11,2.43535290757364e-17,0.70631497850037,0.053,0.032,5.30273742095085e-13
AP2S1,3.0391210176017e-17,-0.279130731771691,0.254,0.297,6.61738210372595e-13
SCO2,3.10507740405754e-17,-0.568274300463281,0.095,0.125,6.76099553959489e-13
NCF2,3.17842837392223e-17,-0.431349682438838,0.096,0.127,6.92070994137827e-13
SH3YL1,3.69720171216392e-17,0.40181709556427,0.174,0.138,8.05028700806572e-13
GADD45B,4.1079773448811e-17,0.2710108342866,0.454,0.411,8.9447098707441e-13
EIF2S3,4.2695173198259e-17,0.180457264041915,0.468,0.418,9.29644701218892e-13
CD5,4.68095305020354e-17,0.25473668652398,0.326,0.281,1.01923071715132e-12
IFNGR1,4.97326334401696e-17,0.353516792826203,0.237,0.197,1.08287836052625e-12
NEAT1,5.36200704250499e-17,-0.411027612147275,0.488,0.526,1.16752341343504e-12
AC136475.1,6.40751919378578e-17,0.556943422613408,0.079,0.054,1.39517322925492e-12
SPI1,7.6231692818208e-17,-0.235095278388724,0.142,0.18,1.65986887942366e-12
RAC2,7.79313389171211e-17,-0.137401682937039,0.71,0.741,1.69687697358139e-12
NAPSA,7.89716381315084e-17,-0.656509432886899,0.038,0.059,1.71952844867546e-12
PSME1,9.4942616056808e-17,-0.14431199883939,0.729,0.753,2.06728052202094e-12
PSMB10,9.72999174669061e-17,-0.245958638227769,0.373,0.414,2.11860840292441e-12
CD33,9.75406365873238e-17,-0.679916043791672,0.04,0.061,2.12384982105239e-12
CIRBP,1.20181318828292e-16,0.111165611420323,0.825,0.792,2.61682803616723e-12
NCAM1,1.33536504273183e-16,1.09824860391684,0.029,0.014,2.90762384404429e-12
PNKD,1.40533457948925e-16,-0.341221509241873,0.166,0.203,3.0599755133799e-12
CBWD5,1.40827304011359e-16,0.532464371619385,0.091,0.064,3.06637371754334e-12
TOMM7,1.41025918107051e-16,0.104171726003023,0.889,0.878,3.07069834086293e-12
AVPI1,1.50194771701447e-16,0.793679644644024,0.046,0.027,3.27034095902731e-12
A1BG,1.59499962785574e-16,-0.384145580453191,0.114,0.146,3.47295218969309e-12
CD36,1.80018386020954e-16,-0.500509605753472,0.064,0.09,3.91972033722025e-12
SNU13,2.08415701538977e-16,0.200359280441647,0.415,0.371,4.53804348530969e-12
LAMTOR2,2.26131648253937e-16,-0.335590879707984,0.143,0.179,4.92379050908123e-12
LEPROTL1,2.46964212047443e-16,0.180197202493759,0.563,0.521,5.37739875312103e-12
ISG15,2.47129262174994e-16,-0.508244511711131,0.201,0.238,5.38099255459831e-12
CISD3,2.5750315223621e-16,-0.398006640785585,0.106,0.138,5.60687363679124e-12
NR3C1,2.72297821780119e-16,0.278892795409518,0.338,0.295,5.9290127714403e-12
PPP1R18,2.88820812667931e-16,-0.252072163460836,0.282,0.326,6.28878437503154e-12
AK5,3.08093590034833e-16,0.695833140035739,0.057,0.036,6.70842982941845e-12
CCND3,3.66843974229489e-16,0.126695619753492,0.637,0.595,7.9876606948729e-12
MYO1F,4.21578038334288e-16,-0.266872852242279,0.297,0.339,9.17944020669079e-12
SKIL,4.44638069622836e-16,0.53811486825411,0.096,0.069,9.68154932796763e-12
METRNL,4.63102936435582e-16,0.399866976781341,0.148,0.115,1.00836033379484e-11
CEBPZ,4.66748730253918e-16,0.256573605113449,0.27,0.228,1.01629868525488e-11
ARID3A,4.67048008383752e-16,-0.641524799658211,0.037,0.057,1.01695033345478e-11
