,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HIPK1-AS1,0.0150988938777833,0.267462540292513,0.015,0.013,1
AC093495.1,0.0151316981946531,-0.310154632534568,0.01,0.013,1
RGS9,0.0151703011596786,0.21499043121571,0.03,0.027,1
C1RL-AS1,0.0151853305768457,-0.199092093807823,0.018,0.021,1
ADORA2A,0.0151889929154977,-0.176191063850288,0.031,0.035,1
AXIN1,0.0151894633737482,-0.121221384044667,0.047,0.052,1
NFXL1,0.0151928693479283,0.198749790208499,0.028,0.024,1
SPIN2B,0.0151956932997049,-0.167133023217045,0.03,0.033,1
LSM12,0.0152113006007285,0.104204153701499,0.102,0.096,1
ZNF699,0.0152475263202693,0.143725089698693,0.054,0.049,1
ZNF416,0.0152824533646372,0.301843283172603,0.01,0.008,1
IFIT2,0.0153586277460782,-0.163972512340781,0.027,0.031,1
C16orf58,0.0153702225472844,0.142701044498969,0.055,0.05,1
SNX30,0.0153931075702402,-0.224582487802066,0.018,0.021,1
WSB2,0.015426670899731,-0.205871093125007,0.02,0.024,1
SLX4,0.0154484015128954,-0.316689606028183,0.01,0.012,1
PRMT6,0.0155295768372017,0.232697122131837,0.018,0.015,1
HNRNPLL,0.0155721708285761,0.118771531937008,0.08,0.074,1
PDE12,0.0156306721114856,0.122271060361139,0.061,0.056,1
ALAS1,0.0156665708489724,-0.187604954366259,0.026,0.03,1
CLPTM1L,0.0156708506904308,-0.160087570299879,0.035,0.039,1
SEC24C,0.0156837314937761,0.10889924204998,0.081,0.075,1
RASSF7,0.0156970037007201,-0.102127966769967,0.088,0.094,1
LINC01278,0.0157152299923181,0.119653008515062,0.067,0.061,1
PARP15,0.0157155832235796,0.105988820800208,0.116,0.109,1
CENPB,0.015793471178701,-0.18682810859668,0.028,0.031,1
RUVBL1,0.015804185516349,-0.129089267168475,0.05,0.055,1
SRFBP1,0.0158274097655825,0.133971455005313,0.051,0.046,1
SLC16A1,0.0159811160796984,0.210866076524556,0.024,0.021,1
PDE6D,0.0160752398333798,-0.113439301478595,0.067,0.072,1
SLC17A9,0.0160831227953752,0.22018696087079,0.02,0.017,1
SH3PXD2A,0.0161163192034061,-0.326764245431915,0.008,0.01,1
METAP1D,0.0161245288443135,0.200359043070156,0.026,0.023,1
