group,names,scores,logfoldchanges,pvals,pvals_adj
15,CORO1A,14.373406,3.82814,7.599887504039707e-47,4.3740275619403914e-44
15,COX6A1,14.361236,3.7913232,9.059677714586015e-47,5.083838149539943e-44
15,SUMO2,14.353773,3.138876,1.008959156290216e-46,5.52368224929029e-44
15,CALM1,14.346742,3.2685905,1.116608519890225e-46,5.967474961299046e-44
15,LDHA,14.329424,4.288792,1.4330509283144759e-46,7.480525845801565e-44
15,PSME1,14.3181715,3.1728017,1.6849837444637184e-46,8.46874800969952e-44
15,MIF,14.317644,3.3739724,1.6978243804529912e-46,8.46874800969952e-44
15,PGAM1,14.311456,4.321348,1.8558677960044886e-46,9.055827945460163e-44
15,ENO1,14.304684,4.0171075,2.0456641527224978e-46,9.65255212541457e-44
15,TUBB,14.304057,5.5793576,2.064165116367724e-46,9.65255212541457e-44
15,H3F3A,14.287152,3.2593505,2.6315139634469215e-46,1.2054482127250938e-43
15,PSMB9,14.2727,3.7036107,3.2379463188001686e-46,1.4535788614357718e-43
15,PCLAF,14.2621355,9.83255,3.767482531793252e-46,1.6581355472280653e-43
15,RPA3,14.25982,5.4815035,3.89460425883885e-46,1.681120907574939e-43
15,COX5A,14.256654,4.1333246,4.075341229145145e-46,1.7259454571583384e-43
15,DBI,14.255017,3.7724664,4.171990475136597e-46,1.7341573741651122e-43
15,COX6C,14.247747,3.4577825,4.629751299760517e-46,1.8894435940804464e-43
15,MKI67,14.244946,9.409458,4.819213963198924e-46,1.9316442253207687e-43
15,ATP5MF,14.242007,3.8667252,5.026211912694584e-46,1.9792693437253096e-43
15,SRSF3,14.239722,3.6135225,5.193307101140079e-46,2.0098098481412107e-43
15,ATP5F1E,14.228284,2.607266,6.116414537718965e-46,2.3269328934515237e-43
15,RPLP0,14.226348,2.900805,6.288081961922289e-46,2.3361408883182135e-43
15,B2M,14.225677,2.0412495,6.348774578428719e-46,2.3361408883182135e-43
15,TMSB10,14.220851,3.018737,6.802058715146164e-46,2.4625646761317875e-43
15,MT-CO2,14.212496,2.3896103,7.664468146290678e-46,2.7151702352812915e-43
15,PSME2,14.211793,3.9959118,7.74173104597713e-46,2.7151702352812915e-43
15,HINT1,14.201456,2.9940443,8.972838518205909e-46,3.098528205840767e-43
15,PCNA,14.198236,7.1087756,9.394636036119853e-46,3.1950303101022156e-43
15,PSMA2,14.175627,4.1822634,1.2968060480777863e-45,4.344493814202088e-43
15,HNRNPA3,14.167294,3.7025745,1.460200593989397e-45,4.7611482799565874e-43
